Marca,Producto,ml,Categoría,Costo USD,Comentario,id_star,url_star,stock_star,imagen_url,fecha_snapshot
,TESTER NEW NOTES QUEEN OF THE SEA EDP 50ML,50,Tester,200.00,,16037,https://www.starcompany-py.com/perfumes/16037-tester-new-notes-queen-of-the-sea-edp-50ml.html,1,https://www.starcompany-py.com/7926-home_default/tester-new-notes-queen-of-the-sea-edp-50ml.jpg,2026-07-10
,TESTER NEW NOTES ROSA LIMONE EDP 50ML,50,Tester,200.00,,16038,https://www.starcompany-py.com/perfumes/16038-tester-new-notes-rosa-limone-edp-50ml.html,2,https://www.starcompany-py.com/7916-home_default/tester-new-notes-rosa-limone-edp-50ml.jpg,2026-07-10
12 PARFUMEURS FRANCAIS,12 PARFUMEURS FRANCAIS FONTAINEBLEAU EXDP 100ML UNISEX,100,Nicho,155.00,,13888,https://www.starcompany-py.com/perfumes/13888-12-parfumeurs-francais-fontainebleau-exdp-100ml-unisex.html,11,https://www.starcompany-py.com/5966-home_default/12-parfumeurs-francais-fontainebleau-exdp-100ml-unisex.jpg,2026-07-10
12 PARFUMEURS FRANCAIS,12 PARFUMEURS FRANCAIS LUXEMBOURG EXDP 100ML UNISEX,100,Nicho,155.00,,13804,https://www.starcompany-py.com/perfumes/13804-12-parfumeurs-francais-luxembourg-exdp-100ml-unisex.html,6,https://www.starcompany-py.com/6150-home_default/12-parfumeurs-francais-luxembourg-exdp-100ml-unisex.jpg,2026-07-10
12 PARFUMEURS FRANCAIS,12 PARFUMEURS FRANCAIS MADAME ROYALE EXDP 100ML UNISEX,100,Nicho,155.00,,13805,https://www.starcompany-py.com/perfumes/13805-12-parfumeurs-francais-madame-royale-exdp-100ml-unisex.html,5,https://www.starcompany-py.com/6149-home_default/12-parfumeurs-francais-madame-royale-exdp-100ml-unisex.jpg,2026-07-10
12 PARFUMEURS FRANCAIS,12 PARFUMEURS FRANCAIS MALMAISON EXDP 100ML UNISEX,100,Nicho,155.00,,13889,https://www.starcompany-py.com/perfumes/13889-12-parfumeurs-francais-malmaison-exdp-100ml-unisex.html,12,https://www.starcompany-py.com/5965-home_default/12-parfumeurs-francais-malmaison-exdp-100ml-unisex.jpg,2026-07-10
12 PARFUMEURS FRANCAIS,12 PARFUMEURS FRANCAIS PRAFRANCE EXDP 100ML UNISEX,100,Nicho,155.00,,13854,https://www.starcompany-py.com/perfumes/13854-12-parfumeurs-francais-prafrance-exdp-100ml-unisex.html,4,https://www.starcompany-py.com/5997-home_default/12-parfumeurs-francais-prafrance-exdp-100ml-unisex.jpg,2026-07-10
AFNAN,AFNAN 9AM DIVE EDP 100ML,100,Árabe,22.00,,8614,https://www.starcompany-py.com/perfumes/8614-afnan-dive-9am-edp-100ml-mas.html,117,https://www.starcompany-py.com/709-home_default/afnan-dive-9am-edp-100ml-mas.jpg,2026-07-10
AFNAN,AFNAN 9AM DIVE EDP 150ML,150,Árabe,28.00,,12097,https://www.starcompany-py.com/perfumes/12097-afnan-9am-dive-edp-150ml.html,60,https://www.starcompany-py.com/4337-home_default/afnan-9am-dive-edp-150ml.jpg,2026-07-10
AFNAN,AFNAN 9PM (BLACK) EDP 100ML MASC,100,Árabe,20.00,,8615,https://www.starcompany-py.com/perfumes/8615-afnan-9pm-preto.html,1200,https://www.starcompany-py.com/710-home_default/afnan-9pm-preto.jpg,2026-07-10
AFNAN,AFNAN 9PM (BLACK) EDP 150ML MASC,150,Árabe,27.50,,12100,https://www.starcompany-py.com/perfumes/12100-afnan-9pm-black-edp-150ml-masc.html,15,https://www.starcompany-py.com/4288-home_default/afnan-9pm-black-edp-150ml-masc.jpg,2026-07-10
AFNAN,AFNAN 9PM FEMME (PURPLE) EDP 100ML FEM,100,Árabe,22.00,,8724,https://www.starcompany-py.com/perfumes/8724-afnan-9am-purple-edp-100ml-fem.html,289,https://www.starcompany-py.com/964-home_default/afnan-9am-purple-edp-100ml-fem.jpg,2026-07-10
AFNAN,AFNAN HISTORIC SAHARA EXTRAIT DE PARFUM 100ML,100,Árabe,28.00,,11611,https://www.starcompany-py.com/perfumes/11611-afnan-historic-sahara-edp-100ml.html,49,https://www.starcompany-py.com/3699-home_default/afnan-historic-sahara-edp-100ml.jpg,2026-07-10
AFNAN,AFNAN KIAANA ANGEL EDP 100ML FEMININO,100,Árabe,23.50,,10551,https://www.starcompany-py.com/perfumes/10551-afnan-kiaana-angel-edp-100ml-feminino.html,4,https://www.starcompany-py.com/3170-home_default/afnan-kiaana-angel-edp-100ml-feminino.jpg,2026-07-10
AFNAN,AFNAN KIAANA CRUSH EDP 100ML FEMININO,100,Árabe,20.00,,10552,https://www.starcompany-py.com/perfumes/10552-afnan-kiaana-crush-edp-100ml-feminino.html,5,https://www.starcompany-py.com/2956-home_default/afnan-kiaana-crush-edp-100ml-feminino.jpg,2026-07-10
AFNAN,AFNAN KIT SUPREMACY COLLECTOR EDITION EDP 100ML + S/G 150ML + P/S 150M,100,Árabe,62.00,,16263,https://www.starcompany-py.com/afnan/16263-afnan-kit-supremacy-collector-edition-edp-100ml-s-g-150ml-p-s-150m.html,92,,2026-07-10
AFNAN,AFNAN SOUVENIR DESERT ROSE EDP 100ML,100,Árabe,23.00,,8961,https://www.starcompany-py.com/perfumes/8961-afnan-souv-desert-r-edp-100ml.html,240,https://www.starcompany-py.com/1191-home_default/afnan-souv-desert-r-edp-100ml.jpg,2026-07-10
AFNAN,AFNAN SUPREMACY NOIR (BLACK) EDP 100ML,100,Árabe,23.00,,10338,https://www.starcompany-py.com/perfumes/10338-afnan-supremacy-noir-man-100ml.html,12,https://www.starcompany-py.com/2710-home_default/afnan-supremacy-noir-man-100ml.jpg,2026-07-10
AFNAN,AFNAN SUPREMACY NOT ONLY INTENSE EDP 150ML,150,Árabe,36.50,,14531,https://www.starcompany-py.com/perfumes/14531-afnan-supremacy-not-only-intense-edp-150ml.html,1,https://www.starcompany-py.com/6650-home_default/afnan-supremacy-not-only-intense-edp-150ml.jpg,2026-07-10
AFNAN,AFNAN SUPREMACY PINK POUR FEMME EDP 100ML,100,Árabe,22.00,,10573,https://www.starcompany-py.com/perfumes/10573-afnan-supremacy-pour-femme-pink-edp-100ml.html,12,https://www.starcompany-py.com/2989-home_default/afnan-supremacy-pour-femme-pink-edp-100ml.jpg,2026-07-10
AFNAN,AFNAN SUPREMACY PURPLE POUR FEMME EDP 100ML,100,Árabe,22.50,,9328,https://www.starcompany-py.com/perfumes/9328-afnan-supremacy-pour-femme-purple-vapo-100ml.html,12,https://www.starcompany-py.com/1422-home_default/afnan-supremacy-pour-femme-purple-vapo-100ml.jpg,2026-07-10
AFNAN,AFNAN SUPREMACY SILVER POUR HOMME EDP 100ML,100,Árabe,22.90,,9329,https://www.starcompany-py.com/perfumes/9329-afnan-supremacy-pour-femme-silver-vapo-100ml.html,24,https://www.starcompany-py.com/1423-home_default/afnan-supremacy-pour-femme-silver-vapo-100ml.jpg,2026-07-10
AFNAN,AFNAN TURATHI ELECTRIC EDP 90ML,90,Árabe,25.00,,11612,https://www.starcompany-py.com/perfumes/11612-afnan-turathi-eletric-edp-90ml.html,541,https://www.starcompany-py.com/5404-home_default/afnan-turathi-eletric-edp-90ml.jpg,2026-07-10
AL HARAMAIN,AL HARAMAIN AMBER OUD AQUA DUBAI EXDP 100ML (AZUL),100,Árabe,35.90,,8648,https://www.starcompany-py.com/perfumes/8648-al-haramain-amber-oud-aqua-dubai-edp.html,3369,https://www.starcompany-py.com/5470-home_default/al-haramain-amber-oud-aqua-dubai-edp.jpg,2026-07-10
AL HARAMAIN,AL HARAMAIN AMBER OUD AQUA DUBAI EXDP 200ML,200,Árabe,63.00,,14770,https://www.starcompany-py.com/perfumes/14770-al-haramain-amber-oud-aqua-dubai-extrait-de-parfum-200ml.html,480,https://www.starcompany-py.com/8291-home_default/al-haramain-amber-oud-aqua-dubai-extrait-de-parfum-200ml.jpg,2026-07-10
AL HARAMAIN,AL HARAMAIN AMBER OUD AQUA DUBAI EXDP 75ML,75,Árabe,34.90,,10244,https://www.starcompany-py.com/perfumes/10244-al-haramain-amber-oud-aqua-dubai-edp-75ml.html,1800,https://www.starcompany-py.com/2659-home_default/al-haramain-amber-oud-aqua-dubai-edp-75ml.jpg,2026-07-10
